,title,label,tokens
0,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs,0,"['breaking', ':', 'first', 'nfl', 'team', 'declares', 'bankruptcy', 'over', 'kneeling', 'thugs']"
1,Court Orders Obama To Pay $400 Million In Restitution,0,"['court', 'orders', 'obama', 'to', 'pay', '$', '400', 'million', 'in', 'restitution']"
2,UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -,0,"['update', ':', 'second', 'roy', 'moore', 'accuser', 'works', 'for', 'michelle', 'obama', 'right', 'now', '-']"
3,Oscar Pistorius Attempts To Commit Suicide,0,"['oscar', 'pistorius', 'attempts', 'to', 'commit', 'suicide']"
4,Trump Votes For Death Penalty For Being Gay,0,"['trump', 'votes', 'for', 'death', 'penalty', 'for', 'being', 'gay']"
5,Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!,0,"['putin', 'says', ':', '‘', 'pope', 'francis', 'is', 'not', 'a', 'man', 'of', 'god', '’', '|', 'must-see', '!', '!']"
6,New York Man Wanted For Infecting 240 Men And Women With HIV!!!,0,"['new', 'york', 'man', 'wanted', 'for', 'infecting', '240', 'men', 'and', 'women', 'with', 'hiv', '!', '!', '!']"
7,Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian,0,"['saudi', 'arabia', 'to', 'behead', '6', 'school', 'girls', 'for', 'being', 'with', 'their', 'male', 'friends', 'without', 'parents', 'or', 'a', 'guardian']"
8,Malia Obama Fired From Cushy Internship At Spanish Embassy,0,"['malia', 'obama', 'fired', 'from', 'cushy', 'internship', 'at', 'spanish', 'embassy']"
9,Target to Discontinue Sale of Holy Bible,0,"['target', 'to', 'discontinue', 'sale', 'of', 'holy', 'bible']"
10,Youngest World Leader Bans George Soros’s Foundations From Austria,0,"['youngest', 'world', 'leader', 'bans', 'george', 'soros', '’', 's', 'foundations', 'from', 'austria']"
11,BREAKING: Hillary Clinton Has Third Heart Attack-Docs Says She ‘Won’t Survive’,0,"['breaking', ':', 'hillary', 'clinton', 'has', 'third', 'heart', 'attack-docs', 'says', 'she', '‘', 'won', '’', 't', 'survive', '’']"
12,"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",0,"['barack', 'obama', 'tweets', 'sick', 'attack', 'on', 'john', 'mccain', ',', 'says', 'he', 'should', 'have', 'died']"
13,President Trump Underscores US-Jamaica Relations,0,"['president', 'trump', 'underscores', 'us-jamaica', 'relations']"
14,Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y,0,"['actress', 'sandra', 'bullock', 'to', 'hillary', 'clinton', 'if', 'you', 'do', ""n't"", 'like', 'our', 'president', 'you', 'can', 'leave', 'and', 'never', 'come', 'back', 'again', 'you', 'are', 'one', 'jealous', 'woman', 'who', 'ls', 'nothing', 'to', 'compare', 'with', 'trump', 'i', 'hope', 'he', 'will', 'arrest', 'y']"
15,Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”,0,"['gretchen', 'carlson', ':', '“', 'the', '2nd', 'amendment', 'was', 'written', 'before', 'guns', 'were', 'invented', '”']"
16,"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’",0,"['pope', 'francis', 'at', 'mass', ':', '‘', 'jesus', 'is', 'metaphorical', ',', 'not', 'literal', '’']"
17,Black Men Arrested In Philadelphia Starbucks Settle For $2 Million,0,"['black', 'men', 'arrested', 'in', 'philadelphia', 'starbucks', 'settle', 'for', '$', '2', 'million']"
18,ICE Detainer Issued for Suspected Wine Country Arsonist in Sonoma Jail,0,"['ice', 'detainer', 'issued', 'for', 'suspected', 'wine', 'country', 'arsonist', 'in', 'sonoma', 'jail']"
19,Former presidents walk fine line in Trump’s America,0,"['former', 'presidents', 'walk', 'fine', 'line', 'in', 'trump', '’', 's', 'america']"
20,"Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'",0,"['inside', 'the', 'snapchat', 'bloodbath', ':', '60', 'minutes', 'of', 'terror', 'which', 'left', '17', 'dead', ',', 'bodies', 'in', 'classrooms', 'and', 'kids', ""'full"", 'of', 'blood', ""'""]"
21,BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline,0,"['breaking', ':', 'nancy', 'pelosi', 'to', 'resign', 'after', 'new', 'revelations', '–', 'nrtonline']"
22,"Donald Trump inauguration: Artists who won't perform at ceremony include Elton John, Celine Dion and John Legend",0,"['donald', 'trump', 'inauguration', ':', 'artists', 'who', 'wo', ""n't"", 'perform', 'at', 'ceremony', 'include', 'elton', 'john', ',', 'celine', 'dion', 'and', 'john', 'legend']"
23,BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump,0,"['breaking', ':', 'leaked', 'picture', 'of', 'obama', 'being', 'dragged', 'before', 'a', 'judge', 'in', 'handcuffs', 'for', 'wiretapping', 'trump']"
24,Clinton Campaign official arrested by FBI on child rape/trafficking charges,0,"['clinton', 'campaign', 'official', 'arrested', 'by', 'fbi', 'on', 'child', 'rape/trafficking', 'charges']"
25,"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",0,"['donald', 'train', 'news', ':', 'breaking', ':', 'rosa', 'parks', '’', 'granddaughter', 'slams', 'racist', 'democrats', ',', 'endorses', 'trump']"
26,"NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”",0,"['nra', 'president', 'jim', 'porter', 'falsely', 'accused', 'of', 'saying', ',', '“', 'it', '’', 's', 'only', 'a', 'matter', 'of', 'time', 'before', 'we', 'can', 'own', 'colored', 'people', 'again', '”']"
27,Biden raises possibility of 2020 presidential bid,0,"['biden', 'raises', 'possibility', 'of', '2020', 'presidential', 'bid']"
28,"NYC: PHYSICIAN and Wife Jump To Death…Leave Kids Behind Because They “Can’t Afford The Health Care” Only Hours After McCain, Murkowski, Collins and EVERY Democrat Voted To Keep Obamacare -",0,"['nyc', ':', 'physician', 'and', 'wife', 'jump', 'to', 'death…leave', 'kids', 'behind', 'because', 'they', '“', 'can', '’', 't', 'afford', 'the', 'health', 'care', '”', 'only', 'hours', 'after', 'mccain', ',', 'murkowski', ',', 'collins', 'and', 'every', 'democrat', 'voted', 'to', 'keep', 'obamacare', '-']"
29,Snapchat is shutting down!,0,"['snapchat', 'is', 'shutting', 'down', '!']"
30,Rice told investigators why she unmasked Trump aides,0,"['rice', 'told', 'investigators', 'why', 'she', 'unmasked', 'trump', 'aides']"
31,BREAKING: Meryl Streep Just Got Fired From A Major Project For Lying About Trump -,0,"['breaking', ':', 'meryl', 'streep', 'just', 'got', 'fired', 'from', 'a', 'major', 'project', 'for', 'lying', 'about', 'trump', '-']"
32,Clinton Email: We Must Destroy Syria For Israel,0,"['clinton', 'email', ':', 'we', 'must', 'destroy', 'syria', 'for', 'israel']"
33,CNN host Fareed Zakaria calls for jihad rape of white women,0,"['cnn', 'host', 'fareed', 'zakaria', 'calls', 'for', 'jihad', 'rape', 'of', 'white', 'women']"
34,Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement,0,"['could', 'trump', 'win', 'the', 'nobel', 'peace', 'prize', '?', 'peace', 'in', 'korean', 'peninsula', 'would', 'be', 'significant', 'foreign', 'policy', 'achievement']"
35,UPDATE: Hillary Clinton Leaves The Country As Mueller Indictment Is Announced,0,"['update', ':', 'hillary', 'clinton', 'leaves', 'the', 'country', 'as', 'mueller', 'indictment', 'is', 'announced']"
36,BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire,0,"['breaking', ':', 'illegal', 'muslim', 'from', 'iran', 'arrested', 'for', 'starting', 'california', 'wildfire']"
37,"NFL Lawyer, Who Claimed Super Bowl Is ‘Rigged’, Found Dead",0,"['nfl', 'lawyer', ',', 'who', 'claimed', 'super', 'bowl', 'is', '‘', 'rigged', '’', ',', 'found', 'dead']"
38,"Japanese Whaling Crew Eaten Alive By Killer Whales, 16 dead",0,"['japanese', 'whaling', 'crew', 'eaten', 'alive', 'by', 'killer', 'whales', ',', '16', 'dead']"
39,Barrels removed from Clinton property contain parts from 3 missing women.,0,"['barrels', 'removed', 'from', 'clinton', 'property', 'contain', 'parts', 'from', '3', 'missing', 'women', '.']"
40,"Liberal Women Hate Me Because Of My “Striking Beauty And Intellect”, Says Kellyanne Conway",0,"['liberal', 'women', 'hate', 'me', 'because', 'of', 'my', '“', 'striking', 'beauty', 'and', 'intellect', '”', ',', 'says', 'kellyanne', 'conway']"
41,Buzz Aldrin ‘passes UFO lie detector test leaving experts convinced that he encountered alien life’,0,"['buzz', 'aldrin', '‘', 'passes', 'ufo', 'lie', 'detector', 'test', 'leaving', 'experts', 'convinced', 'that', 'he', 'encountered', 'alien', 'life', '’']"
42,Full text: Jeff Flake on Trump speech transcript,0,"['full', 'text', ':', 'jeff', 'flake', 'on', 'trump', 'speech', 'transcript']"
43,Mike Pence: “Allowing Rape Victims To Have Abortions Will Lead To Women Trying To Get Raped”,0,"['mike', 'pence', ':', '“', 'allowing', 'rape', 'victims', 'to', 'have', 'abortions', 'will', 'lead', 'to', 'women', 'trying', 'to', 'get', 'raped', '”']"
44,"Paul Ryan: “22 Million Americans Choose To Be Poor, So It’s Their Own Problem If They Can’t Afford To Be Healthy”",0,"['paul', 'ryan', ':', '“', '22', 'million', 'americans', 'choose', 'to', 'be', 'poor', ',', 'so', 'it', '’', 's', 'their', 'own', 'problem', 'if', 'they', 'can', '’', 't', 'afford', 'to', 'be', 'healthy', '”']"
45,Pope Francis: Gun Owners 'Can’t Call Themselves Christian' Anymore,0,"['pope', 'francis', ':', 'gun', 'owners', ""'can"", '’', 't', 'call', 'themselves', 'christian', ""'"", 'anymore']"
46,About Mayor Bhalla,0,"['about', 'mayor', 'bhalla']"
47,Neon Nettle,0,"['neon', 'nettle']"
48,Broward County Sheriff Fired For Lying About Parkland,0,"['broward', 'county', 'sheriff', 'fired', 'for', 'lying', 'about', 'parkland']"
49,Tom Price: “It’s Better For Our Budget If Cancer Patients Die More Quickly”,0,"['tom', 'price', ':', '“', 'it', '’', 's', 'better', 'for', 'our', 'budget', 'if', 'cancer', 'patients', 'die', 'more', 'quickly', '”']"
50,Breaking: Greitens Accuser Admits Photo Session May Have Been A “Dream”,0,"['breaking', ':', 'greitens', 'accuser', 'admits', 'photo', 'session', 'may', 'have', 'been', 'a', '“', 'dream', '”']"
51,Obama Administration Kept Illegal Mexican Kids In Detention Camps As “Experiment”,0,"['obama', 'administration', 'kept', 'illegal', 'mexican', 'kids', 'in', 'detention', 'camps', 'as', '“', 'experiment', '”']"
52,Pope Francis To Followers: “Koran And Holy Bible Are The Same”,0,"['pope', 'francis', 'to', 'followers', ':', '“', 'koran', 'and', 'holy', 'bible', 'are', 'the', 'same', '”']"
53,United Airlines Flight Attendant Slaps Crying Baby During Flight,0,"['united', 'airlines', 'flight', 'attendant', 'slaps', 'crying', 'baby', 'during', 'flight']"
54,"CIA Release Documents Of Moon, Moon Has More Than 250 Million Citizens",0,"['cia', 'release', 'documents', 'of', 'moon', ',', 'moon', 'has', 'more', 'than', '250', 'million', 'citizens']"
55,How Donald Trump Lost the 'War on Christmas',0,"['how', 'donald', 'trump', 'lost', 'the', ""'war"", 'on', 'christmas', ""'""]"
56,Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria,0,"['thousands', 'killed', 'as', 'israel', 'drops', 'tactical', 'nuclear', 'bomb', 'on', 'syria']"
57,Man charged with murder after driving into anti-far-right protesters in Charlottesville,0,"['man', 'charged', 'with', 'murder', 'after', 'driving', 'into', 'anti-far-right', 'protesters', 'in', 'charlottesville']"
58,BREAKING: Fox Sports Cancels ALL NFL Broadcasts ‘Until Players Respect The Flag’,0,"['breaking', ':', 'fox', 'sports', 'cancels', 'all', 'nfl', 'broadcasts', '‘', 'until', 'players', 'respect', 'the', 'flag', '’']"
59,The Legislative Process,0,"['the', 'legislative', 'process']"
60,Head Of NFL Fines Steeler Teammates $1 MILLION Each!,0,"['head', 'of', 'nfl', 'fines', 'steeler', 'teammates', '$', '1', 'million', 'each', '!']"
61,Debbie Wasserman Schultz Aide Arrested Trying to Flee the Country,0,"['debbie', 'wasserman', 'schultz', 'aide', 'arrested', 'trying', 'to', 'flee', 'the', 'country']"
62,BREAKING: Sasha Obama Just Crashed Her Expensive New Car Into A Lake,0,"['breaking', ':', 'sasha', 'obama', 'just', 'crashed', 'her', 'expensive', 'new', 'car', 'into', 'a', 'lake']"
63,Sid Miller,0,"['sid', 'miller']"
64,"Kasich: “If A Woman Is Not Intelligent Enough To Keep Her Legs Closed, How Can We Entrust The Abortion Decision To Her?”",0,"['kasich', ':', '“', 'if', 'a', 'woman', 'is', 'not', 'intelligent', 'enough', 'to', 'keep', 'her', 'legs', 'closed', ',', 'how', 'can', 'we', 'entrust', 'the', 'abortion', 'decision', 'to', 'her', '?', '”']"
65,Democrat Maxine Waters Has Shown Up To Only 10% Of Congressional Meetings For 35 YEARS,0,"['democrat', 'maxine', 'waters', 'has', 'shown', 'up', 'to', 'only', '10', '%', 'of', 'congressional', 'meetings', 'for', '35', 'years']"
66,GOP Official Who Says America Needs ?Another 9/11? Shares _______________ With Trump,0,"['gop', 'official', 'who', 'says', 'america', 'needs', '?', 'another', '9/11', '?', 'shares', '_______________', 'with', 'trump']"
67,82-Year-Old Who Killed A Muslim In Self-Defense Gets The Death Penalty,0,"['82-year-old', 'who', 'killed', 'a', 'muslim', 'in', 'self-defense', 'gets', 'the', 'death', 'penalty']"
68,DEA Just Raided A United States Senator,0,"['dea', 'just', 'raided', 'a', 'united', 'states', 'senator']"
69,"CNN Shocks America, FIRES ‘Journalist’ Who Made Fun Of Sarah Sanders’ Face",0,"['cnn', 'shocks', 'america', ',', 'fires', '‘', 'journalist', '’', 'who', 'made', 'fun', 'of', 'sarah', 'sanders', '’', 'face']"
70,Trump’s DHS Secretary Confirms They Are Preparing To Arrest Sanctuary City Leaders,0,"['trump', '’', 's', 'dhs', 'secretary', 'confirms', 'they', 'are', 'preparing', 'to', 'arrest', 'sanctuary', 'city', 'leaders']"
71,Twelve More Hurricanes Headed Towards US,0,"['twelve', 'more', 'hurricanes', 'headed', 'towards', 'us']"
